Protein_IDs,Gene_names,Protein_names
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2
Q9NW13,RBM28,RNA-binding protein 28
Q9NW15,ANO10,Anoctamin-10
Q9NW81,ATP5SL,ATP synthase subunit s-like protein
Q9NW82,WDR70,WD repeat-containing protein 70
Q9NWH9,SLTM,SAFB-like transcription modulator
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q9NWR8,CCDC109B,"Calcium uniporter regulatory subunit MCUb, mitochondrial"
Q9NWS0,PIH1D1,PIH1 domain-containing protein 1
Q9NWS8,RMND1,Required for meiotic nuclear division protein 1 homolog
Q9NWT1,PAK1IP1,p21-activated protein kinase-interacting protein 1
Q9NWU1,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial"
Q9NWU2,GID8,Glucose-induced degradation protein 8 homolog
Q9NWU5,MRPL22,"39S ribosomal protein L22, mitochondrial"
Q9NWV4,C1orf123,UPF0587 protein C1orf123
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1
Q9NWY4;A8MVJ9,C4orf27,UPF0609 protein C4orf27
Q9NX02,NLRP2,"NACHT, LRR and PYD domains-containing protein 2"
Q9NX04,C1orf109,Uncharacterized protein C1orf109
Q9NX05,FAM120C,Constitutive coactivator of PPAR-gamma-like protein 2
Q9NX08,COMMD8,COMM domain-containing protein 8
Q9NX14,NDUFB11,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"
Q9NX20,MRPL16,"39S ribosomal protein L16, mitochondrial"
Q9NX24,NHP2,H/ACA ribonucleoprotein complex subunit 2
Q9NX40,OCIAD1,OCIA domain-containing protein 1
Q9NX46,ADPRHL2,Poly(ADP-ribose) glycohydrolase ARH3
Q9NX47,MARCH5,E3 ubiquitin-protein ligase MARCH5
Q9NX55,HYPK,Huntingtin-interacting protein K
Q9NX57,RAB20,Ras-related protein Rab-20
Q9NX58,LYAR,Cell growth-regulating nucleolar protein
Q9NX62,IMPAD1,Inositol monophosphatase 3
Q9NX63,CHCHD3,MICOS complex subunit MIC19
Q9NX70,MED29,Mediator of RNA polymerase II transcription subunit 29
Q9NX74,DUS2,tRNA-dihydrouridine(20) synthase [NAD(P)+]-like
Q9NXA8,SIRT5,"NAD-dependent protein deacylase sirtuin-5, mitochondrial"
Q9NXC5,MIOS,WD repeat-containing protein mio
Q9NXD2,MTMR10,Myotubularin-related protein 10
Q9NXE4,SMPD4,Sphingomyelin phosphodiesterase 4
Q9NXF1,TEX10,Testis-expressed sequence 10 protein
Q9NXG2,THUMPD1,THUMP domain-containing protein 1
Q9NXG6,P4HTM,Transmembrane prolyl 4-hydroxylase
Q9NXH9,TRMT1,tRNA (guanine(26)-N(2))-dimethyltransferase
Q9NXJ5,PGPEP1,Pyroglutamyl-peptidase 1
Q9NXN4,GDAP2,Ganglioside-induced differentiation-associated protein 2
Q9NXR1,NDE1,Nuclear distribution protein nudE homolog 1
Q9NXR7,BRE,BRCA1-A complex subunit BRE
Q9NXU5,ARL15,ADP-ribosylation factor-like protein 15
Q9NXV6,CDKN2AIP,CDKN2A-interacting protein
Q9NXW2,DNAJB12,DnaJ homolog subfamily B member 12
Q9NY12,GAR1,H/ACA ribonucleoprotein complex subunit 1
Q9NY27,PPP4R2,Serine/threonine-protein phosphatase 4 regulatory subunit 2
Q9NY33,DPP3,Dipeptidyl peptidase 3
Q9NY47,CACNA2D2,Voltage-dependent calcium channel subunit alpha-2/delta-2;Voltage-dependent calcium channel subunit alpha-2-2;Voltage-dependent calcium channel subunit delta-2
Q9NY93,DDX56,Probable ATP-dependent RNA helicase DDX56
Q9NYB0,TERF2IP,Telomeric repeat-binding factor 2-interacting protein 1
Q9NYB9,ABI2,Abl interactor 2
Q9NYF8,BCLAF1,Bcl-2-associated transcription factor 1
Q9NYH9,UTP6,U3 small nucleolar RNA-associated protein 6 homolog
Q9NYI0,PSD3,PH and SEC7 domain-containing protein 3
Q9NYJ8,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
Q9NYK5,MRPL39,"39S ribosomal protein L39, mitochondrial"
Q9NYL9,TMOD3,Tropomodulin-3
Q9NYQ6,CELSR1,Cadherin EGF LAG seven-pass G-type receptor 1
Q9NYR9,NKIRAS2,NF-kappa-B inhibitor-interacting Ras-like protein 2
Q9NYS0,NKIRAS1,NF-kappa-B inhibitor-interacting Ras-like protein 1
Q9NYU1,UGGT2,UDP-glucose:glycoprotein glucosyltransferase 2
Q9NYU2,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1
Q9NYV4,CDK12,Cyclin-dependent kinase 12
Q9NYY8,FASTKD2,FAST kinase domain-containing protein 2
Q9NZ01,TECR,Very-long-chain enoyl-CoA reductase
Q9NZ08,ERAP1,Endoplasmic reticulum aminopeptidase 1
Q9NZ32,ACTR10,Actin-related protein 10
Q9NZ43,USE1,Vesicle transport protein USE1
Q9NZ45,CISD1,CDGSH iron-sulfur domain-containing protein 1
Q9NZ52,GGA3,ADP-ribosylation factor-binding protein GGA3
Q9NZ56,FMN2,Formin-2
Q9NZB2;Q5T035,FAM120A,Constitutive coactivator of PPAR-gamma-like protein 1
Q9NZC3,GDE1,Glycerophosphodiester phosphodiesterase 1
Q9NZC7,WWOX,WW domain-containing oxidoreductase
Q9NZD2,GLTP,Glycolipid transfer protein
Q9NZD8,SPG21,Maspardin
Q9NZE8,MRPL35,"39S ribosomal protein L35, mitochondrial"
Q9NZI7,UBP1,Upstream-binding protein 1
Q9NZI8,IGF2BP1,Insulin-like growth factor 2 mRNA-binding protein 1
Q9NZJ4,SACS,Sacsin
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3
Q9NZJ6,COQ3,"Ubiquinone biosynthesis O-methyltransferase, mitochondrial"
Q9NZJ7,MTCH1,Mitochondrial carrier homolog 1
Q9NZL9,MAT2B,Methionine adenosyltransferase 2 subunit beta
Q9NZN3,EHD3,EH domain-containing protein 3
Q9NZN5,ARHGEF12,Rho guanine nucleotide exchange factor 12
Q9NZN8,CNOT2,CCR4-NOT transcription complex subunit 2
Q9NZR1,TMOD2,Tropomodulin-2
Q9NZT2,OGFR,Opioid growth factor receptor
Q9NZU5,LMCD1,LIM and cysteine-rich domains protein 1
Q9NZW5,MPP6,MAGUK p55 subfamily member 6
Q9NZZ3,CHMP5,Charged multivesicular body protein 5
Q9P000,COMMD9,COMM domain-containing protein 9
Q9P015,MRPL15,"39S ribosomal protein L15, mitochondrial"
Q9P016,THYN1,Thymocyte nuclear protein 1
Q9P032,NDUFAF4,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4
Q9P035,HACD3,Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 3
Q9P0I2,EMC3,ER membrane protein complex subunit 3
Q9P0J0,NDUFA13,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13
Q9P0J1,PDP1,"[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial"
Q9P0K7,RAI14,Ankycorbin
Q9P0L0,VAPA,Vesicle-associated membrane protein-associated protein A
Q9P0M6,H2AFY2,Core histone macro-H2A.2
Q9P0M9,MRPL27,"39S ribosomal protein L27, mitochondrial"
Q9P0V3,SH3BP4,SH3 domain-binding protein 4
Q9P0V9,SEPT10,Septin-10
Q9P0Z9,PIPOX,Peroxisomal sarcosine oxidase
Q9P107,GMIP,GEM-interacting protein
Q9P121,NTM,Neurotrimin
Q9P1F3,ABRACL,Costars family protein ABRACL
Q9P1Y5,CAMSAP3,Calmodulin-regulated spectrin-associated protein 3
Q9P215,POGK,Pogo transposable element with KRAB domain
Q9P246,STIM2,Stromal interaction molecule 2
Q9P253,VPS18,Vacuolar protein sorting-associated protein 18 homolog
Q9P258,RCC2,Protein RCC2
Q9P260,KIAA1468,LisH domain and HEAT repeat-containing protein KIAA1468
Q9P265,DIP2B,Disco-interacting protein 2 homolog B
Q9P270,SLAIN2,SLAIN motif-containing protein 2
Q9P273;Q6N022,TENM3,Teneurin-3
Q9P287,BCCIP,BRCA2 and CDKN1A-interacting protein
Q9P289,STK26,Serine/threonine-protein kinase 26
Q9P291,ARMCX1,Armadillo repeat-containing X-linked protein 1
Q9P2B2,PTGFRN,Prostaglandin F2 receptor negative regulator
Q9P2B4,CTTNBP2NL,CTTNBP2 N-terminal-like protein
Q9P2D1,CHD7,Chromodomain-helicase-DNA-binding protein 7
Q9P2E9;Q8N4C6,RRBP1,Ribosome-binding protein 1
Q9P2F8,SIPA1L2,Signal-induced proliferation-associated 1-like protein 2
Q9P2H5,USP35,Ubiquitin carboxyl-terminal hydrolase 35
Q9P2I0,CPSF2,Cleavage and polyadenylation specificity factor subunit 2
Q9P2J3;Q9P2N7,KLHL9;KLHL13,Kelch-like protein 9;Kelch-like protein 13
Q9P2J5,LARS,"Leucine--tRNA ligase, cytoplasmic"
Q9P2K3,RCOR3,REST corepressor 3
Q9P2K5,MYEF2,Myelin expression factor 2
Q9P2K8,EIF2AK4,Eukaryotic translation initiation factor 2-alpha kinase 4
Q9P2L0,WDR35,WD repeat-containing protein 35
Q9P2N5,RBM27,RNA-binding protein 27
Q9P2Q2;Q9Y2L6,FRMD4A;FRMD4B,FERM domain-containing protein 4A;FERM domain-containing protein 4B
Q9P2R3,ANKFY1,Rabankyrin-5
Q9P2R7,SUCLA2,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial"
Q9P2T1,GMPR2,GMP reductase 2
Q9P2W9,STX18,Syntaxin-18
Q9P2X3,IMPACT,Protein IMPACT
Q9P2Y5,UVRAG,UV radiation resistance-associated gene protein
Q9UBB4,ATXN10,Ataxin-10
Q9UBB6,NCDN,Neurochondrin
Q9UBB9,TFIP11,Tuftelin-interacting protein 11
Q9UBC2,EPS15L1,Epidermal growth factor receptor substrate 15-like 1
Q9UBC3,DNMT3B,DNA (cytosine-5)-methyltransferase 3B
Q9UBD5,ORC3,Origin recognition complex subunit 3
Q9UBE0,SAE1,"SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed"
Q9UBF2,COPG2,Coatomer subunit gamma-2
Q9UBF6,RNF7,RING-box protein 2
Q9UBG0,MRC2,C-type mannose receptor 2
Q9UBH6,XPR1,Xenotropic and polytropic retrovirus receptor 1
Q9UBI1,COMMD3,COMM domain-containing protein 3
Q9UBI6,GNG12,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12
Q9UBL3,ASH2L,Set1/Ash2 histone methyltransferase complex subunit ASH2
Q9UBM7,DHCR7,7-dehydrocholesterol reductase
Q9UBP0,SPAST,Spastin
Q9UBP4,DKK3,Dickkopf-related protein 3
Q9UBP9,GULP1,PTB domain-containing engulfment adapter protein 1
Q9UBQ0,VPS29,Vacuolar protein sorting-associated protein 29
Q9UBQ5,EIF3K,Eukaryotic translation initiation factor 3 subunit K
Q9UBQ6,EXTL2,Exostosin-like 2;Processed exostosin-like 2
Q9UBQ7,GRHPR,Glyoxylate reductase/hydroxypyruvate reductase
Q9UBR2,CTSZ,Cathepsin Z
Q9UBS3,DNAJB9,DnaJ homolog subfamily B member 9
Q9UBS4,DNAJB11,DnaJ homolog subfamily B member 11
Q9UBS8,RNF14,E3 ubiquitin-protein ligase RNF14
Q9UBS9,SUCO,SUN domain-containing ossification factor
Q9UBT2,UBA2,SUMO-activating enzyme subunit 2
Q9UBU8,MORF4L1,Mortality factor 4-like protein 1
Q9UBU9,NXF1,Nuclear RNA export factor 1
Q9UBV2,SEL1L,Protein sel-1 homolog 1
Q9UBV8,PEF1,Peflin
Q9UBW7,ZMYM2,Zinc finger MYM-type protein 2
Q9UBW8,COPS7A,COP9 signalosome complex subunit 7a
Q9UBX3,SLC25A10,Mitochondrial dicarboxylate carrier
Q9UDR5,AASS,"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase"
Q9UDT6,CLIP2,CAP-Gly domain-containing linker protein 2
Q9UDY4,DNAJB4,DnaJ homolog subfamily B member 4
Q9UEE9,CFDP1,Craniofacial development protein 1
Q9UEG4;Q86UD4;Q32M78;Q6ECI4,ZNF629,Zinc finger protein 629
Q9UEU0,VTI1B,Vesicle transport through interaction with t-SNAREs homolog 1B
Q9UEW8,STK39,STE20/SPS1-related proline-alanine-rich protein kinase
Q9UEY8,ADD3,Gamma-adducin
Q9UFC0,LRWD1,Leucine-rich repeat and WD repeat-containing protein 1
Q9UFN0;Q9BS92,NIPSNAP3A,Protein NipSnap homolog 3A
Q9UFW8,CGGBP1,CGG triplet repeat-binding protein 1
Q9UG01,IFT172,Intraflagellar transport protein 172 homolog
Q9UG56,PISD,Phosphatidylserine decarboxylase proenzyme;Phosphatidylserine decarboxylase alpha chain;Phosphatidylserine decarboxylase beta chain
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2
Q9UGI6;Q9H2S1,KCNN3,Small conductance calcium-activated potassium channel protein 3
Q9UGL1,KDM5B,Lysine-specific demethylase 5B
Q9UGM6,WARS2,"Tryptophan--tRNA ligase, mitochondrial"
Q9UGP4,LIMD1,LIM domain-containing protein 1
Q9UGP8,SEC63,Translocation protein SEC63 homolog
Q9UGR2,ZC3H7B,Zinc finger CCCH domain-containing protein 7B
Q9UGU0,TCF20,Transcription factor 20
Q9UGU5,HMGXB4,HMG domain-containing protein 4
Q9UGV2,NDRG3,Protein NDRG3
Q9UH03,SEPT3,Neuronal-specific septin-3
Q9UH62,ARMCX3,Armadillo repeat-containing X-linked protein 3
Q9UH65,SWAP70,Switch-associated protein 70
Q9UH99,SUN2,SUN domain-containing protein 2
Q9UHA3,RSL24D1,Probable ribosome biogenesis protein RLP24
Q9UHA4,LAMTOR3,Ragulator complex protein LAMTOR3
Q9UHB6,LIMA1,LIM domain and actin-binding protein 1
Q9UHB7,AFF4,AF4/FMR2 family member 4
Q9UHB9,SRP68,Signal recognition particle subunit SRP68
Q9UHD1,CHORDC1,Cysteine and histidine-rich domain-containing protein 1
Q9UHD2,TBK1,Serine/threonine-protein kinase TBK1
Q9UHD8,SEPT9,Septin-9
Q9UHD9,UBQLN2,Ubiquilin-2
Q9UHG2;Q9NPY3,PCSK1N,ProSAAS;KEP;Big SAAS;Little SAAS;Big PEN-LEN;PEN;Little LEN;Big LEN
Q9UHG3,PCYOX1,Prenylcysteine oxidase 1
Q9UHI6,DDX20,Probable ATP-dependent RNA helicase DDX20
Q9UHJ6,SHPK,Sedoheptulokinase
Q9UHL4,DPP7,Dipeptidyl peptidase 2
Q9UHN1,POLG2,"DNA polymerase subunit gamma-2, mitochondrial"
Q9UHN6,TMEM2,Transmembrane protein 2
Q9UHQ9,CYB5R1,NADH-cytochrome b5 reductase 1
Q9UHR5,SAP30BP,SAP30-binding protein
Q9UHV9,PFDN2,Prefoldin subunit 2
Q9UHX1,PUF60,Poly(U)-binding-splicing factor PUF60
Q9UHY1,NRBP1,Nuclear receptor-binding protein
Q9UHY7,ENOPH1,Enolase-phosphatase E1
Q9UHY8,FEZ2,Fasciculation and elongation protein zeta-2
Q9UI09,NDUFA12,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12
Q9UI10,EIF2B4,Translation initiation factor eIF-2B subunit delta
Q9UI12,ATP6V1H,V-type proton ATPase subunit H
Q9UI15,TAGLN3,Transgelin-3
Q9UI26,IPO11,Importin-11
Q9UI30,TRMT112,Multifunctional methyltransferase subunit TRM112-like protein
Q9UI95,MAD2L2,Mitotic spindle assembly checkpoint protein MAD2B
Q9UIA9,XPO7,Exportin-7
Q9UIC8,LCMT1,Leucine carboxyl methyltransferase 1
Q9UID3,VPS51,Vacuolar protein sorting-associated protein 51 homolog
Q9UIF8,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B
Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B
Q9UII2,ATPIF1,"ATPase inhibitor, mitochondrial"
Q9UII4,HERC5,E3 ISG15--protein ligase HERC5
Q9UIJ7,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial"
Q9UIQ6,LNPEP,"Leucyl-cystinyl aminopeptidase;Leucyl-cystinyl aminopeptidase, pregnancy serum form"
Q9UIS9,MBD1,Methyl-CpG-binding domain protein 1
Q9UIV1,CNOT7,CCR4-NOT transcription complex subunit 7
Q9UIW2,PLXNA1,Plexin-A1
Q9UJ14,GGT7,Gamma-glutamyltransferase 7;Gamma-glutamyltransferase 7 heavy chain;Gamma-glutamyltransferase 7 light chain
Q9UJ41,RABGEF1,Rab5 GDP/GTP exchange factor
Q9UJ68,MSRA,Mitochondrial peptide methionine sulfoxide reductase
Q9UJ70,NAGK,N-acetyl-D-glucosamine kinase
Q9UJ83,HACL1,2-hydroxyacyl-CoA lyase 1
Q9UJA5,TRMT6,tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6
Q9UJC5,SH3BGRL2,SH3 domain-binding glutamic acid-rich-like protein 2
Q9UJD0,RIMS3,Regulating synaptic membrane exocytosis protein 3
Q9UJF2,RASAL2,Ras GTPase-activating protein nGAP
Q9UJQ1,LAMP5,Lysosome-associated membrane glycoprotein 5
Q9UJQ4,SALL4,Sal-like protein 4
Q9UJS0,SLC25A13,Calcium-binding mitochondrial carrier protein Aralar2
Q9UJU6,DBNL,Drebrin-like protein
Q9UJV9,DDX41,Probable ATP-dependent RNA helicase DDX41
Q9UJW0,DCTN4,Dynactin subunit 4
Q9UJW3;A0A096LPK6,DNMT3L,DNA (cytosine-5)-methyltransferase 3-like
Q9UJX2,CDC23,Cell division cycle protein 23 homolog
Q9UJX3,ANAPC7,Anaphase-promoting complex subunit 7
Q9UJX4,ANAPC5,Anaphase-promoting complex subunit 5
Q9UJX6,ANAPC2,Anaphase-promoting complex subunit 2
Q9UJY1,HSPB8,Heat shock protein beta-8
Q9UJY4,GGA2,ADP-ribosylation factor-binding protein GGA2
Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1
Q9UJZ1,STOML2,"Stomatin-like protein 2, mitochondrial"
Q9UK22,FBXO2,F-box only protein 2
Q9UK41,VPS28,Vacuolar protein sorting-associated protein 28 homolog
Q9UK45,LSM7,U6 snRNA-associated Sm-like protein LSm7
Q9UK59,DBR1,Lariat debranching enzyme
Q9UK61,FAM208A,Protein FAM208A
Q9UK76,HN1,"Hematological and neurological expressed 1 protein;Hematological and neurological expressed 1 protein, N-terminally processed"
Q9UKA4,AKAP11,A-kinase anchor protein 11
Q9UKA9,PTBP2,Polypyrimidine tract-binding protein 2
Q9UKD2,MRTO4,mRNA turnover protein 4 homolog
Q9UKE5,TNIK,TRAF2 and NCK-interacting protein kinase
Q9UKF6,CPSF3,Cleavage and polyadenylation specificity factor subunit 3
Q9UKF7,PITPNC1,Cytoplasmic phosphatidylinositol transfer protein 1
Q9UKG1,APPL1,DCC-interacting protein 13-alpha
Q9UKG9,CROT,Peroxisomal carnitine O-octanoyltransferase
Q9UKJ3;Q7Z570;A4D1E1,GPATCH8,G patch domain-containing protein 8
Q9UKK3,PARP4,Poly [ADP-ribose] polymerase 4
Q9UKK9,NUDT5,ADP-sugar pyrophosphatase
Q9UKL0,RCOR1,REST corepressor 1
Q9UKM9,RALY,RNA-binding protein Raly
Q9UKN8,GTF3C4,General transcription factor 3C polypeptide 4
Q9UKU7,ACAD8,"Isobutyryl-CoA dehydrogenase, mitochondrial"
Q9UKV3,ACIN1,Apoptotic chromatin condensation inducer in the nucleus
Q9UKV5,AMFR,E3 ubiquitin-protein ligase AMFR
Q9UKV8,AGO2,Protein argonaute-2
Q9UKX7,NUP50,Nuclear pore complex protein Nup50
Q9UKY4,POMT2,Protein O-mannosyl-transferase 2
Q9UKY7,CDV3,Protein CDV3 homolog
Q9UKZ1,CNOT11,CCR4-NOT transcription complex subunit 11
Q9UL03;Q5JSJ4,INTS6,Integrator complex subunit 6
Q9UL12,SARDH,"Sarcosine dehydrogenase, mitochondrial"
Q9UL15,BAG5,BAG family molecular chaperone regulator 5
Q9UL18,AGO1,Protein argonaute-1
Q9UL25,RAB21,Ras-related protein Rab-21
Q9UL26,RAB22A,Ras-related protein Rab-22A
Q9UL40,ZNF346,Zinc finger protein 346
Q9UL42,PNMA2,Paraneoplastic antigen Ma2
Q9UL46,PSME2,Proteasome activator complex subunit 2
Q9UL54,TAOK2,Serine/threonine-protein kinase TAO2
Q9UL63,MKLN1,Muskelin
Q9ULA0,DNPEP,Aspartyl aminopeptidase
Q9ULC3,RAB23,Ras-related protein Rab-23
Q9ULC4,MCTS1,Malignant T-cell-amplified sequence 1
Q9ULD9,ZNF608,Zinc finger protein 608
Q9ULE3,DENND2A,DENN domain-containing protein 2A
Q9ULF5,SLC39A10,Zinc transporter ZIP10
Q9ULG6,CCPG1,Cell cycle progression protein 1
Q9ULH0,KIDINS220,Kinase D-interacting substrate of 220 kDa
Q9ULH1,ASAP1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"
Q9ULH7,MKL2,MKL/myocardin-like protein 2
Q9ULI0,ATAD2B,ATPase family AAA domain-containing protein 2B
Q9ULJ8,PPP1R9A,Neurabin-1
Q9ULK4,MED23,Mediator of RNA polymerase II transcription subunit 23
Q9ULK5,VANGL2,Vang-like protein 2
Q9ULM3,YEATS2,YEATS domain-containing protein 2
Q9ULP0,NDRG4,Protein NDRG4
Q9ULP9,TBC1D24,TBC1 domain family member 24
Q9ULR0,ISY1,Pre-mRNA-splicing factor ISY1 homolog
Q9ULT8,HECTD1,E3 ubiquitin-protein ligase HECTD1
Q9ULU4,ZMYND8,Protein kinase C-binding protein 1
Q9ULU8,CADPS,Calcium-dependent secretion activator 1
Q9ULV3,CIZ1,Cip1-interacting zinc finger protein
Q9ULV4;Q6QEF8,CORO1C,Coronin-1C
Q9ULW0,TPX2,Targeting protein for Xklp2
Q9ULX3,NOB1,RNA-binding protein NOB1
Q9ULX6,AKAP8L,A-kinase anchor protein 8-like
Q9ULX7,CA14,Carbonic anhydrase 14
Q9UM13,ANAPC10,Anaphase-promoting complex subunit 10
Q9UM22,EPDR1,Mammalian ependymin-related protein 1
Q9UM54,MYO6,Unconventional myosin-VI
Q9UMS0,NFU1,"NFU1 iron-sulfur cluster scaffold homolog, mitochondrial"
Q9UMS4,PRPF19,Pre-mRNA-processing factor 19
Q9UMX0,UBQLN1,Ubiquilin-1
Q9UMX1,SUFU,Suppressor of fused homolog
Q9UMX5,NENF,Neudesin
Q9UMY1,NOL7,Nucleolar protein 7
Q9UMY4,SNX12,Sorting nexin-12
Q9UMZ2,SYNRG,Synergin gamma
Q9UN36,NDRG2,Protein NDRG2
Q9UN37;Q6PIW4,VPS4A,Vacuolar protein sorting-associated protein 4A
Q9UN74,PCDHA4,Protocadherin alpha-4
Q9UN81,L1RE1,LINE-1 retrotransposable element ORF1 protein
Q9UN86,G3BP2,Ras GTPase-activating protein-binding protein 2
Q9UNE7,STUB1,E3 ubiquitin-protein ligase CHIP
Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2
Q9UNF1;Q12816,MAGED2,Melanoma-associated antigen D2
Q9UNH7;Q86XE0,SNX6,"Sorting nexin-6;Sorting nexin-6, N-terminally processed"
Q9UNI6,DUSP12,Dual specificity protein phosphatase 12
Q9UNK0,STX8,Syntaxin-8
Q9UNL2,SSR3,Translocon-associated protein subunit gamma
Q9UNM6,PSMD13,26S proteasome non-ATPase regulatory subunit 13
Q9UNN5,FAF1,FAS-associated factor 1
Q9UNP9,PPIE,Peptidyl-prolyl cis-trans isomerase E
Q9UNQ2,DIMT1,Probable dimethyladenosine transferase
Q9UNS1,TIMELESS,Protein timeless homolog
Q9UNS2,COPS3,COP9 signalosome complex subunit 3
Q9UNW1,MINPP1,Multiple inositol polyphosphate phosphatase 1
Q9UNW9,NOVA2,RNA-binding protein Nova-2
Q9UNX3,RPL26L1,60S ribosomal protein L26-like 1
Q9UNX4,WDR3,WD repeat-containing protein 3
Q9UNY4,TTF2,Transcription termination factor 2
Q9UNZ2,NSFL1C,NSFL1 cofactor p47
Q9UP83,COG5,Conserved oligomeric Golgi complex subunit 5
Q9UP95;Q9UHW9,SLC12A4,Solute carrier family 12 member 4
Q9UPM8,AP4E1,AP-4 complex subunit epsilon-1
Q9UPN3,MACF1,"Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5"
Q9UPN7,PPP6R1,Serine/threonine-protein phosphatase 6 regulatory subunit 1
Q9UPN9,TRIM33,E3 ubiquitin-protein ligase TRIM33
Q9UPQ0,LIMCH1,LIM and calponin homology domains-containing protein 1
Q9UPQ9,TNRC6B,Trinucleotide repeat-containing gene 6B protein
Q9UPT5,EXOC7,Exocyst complex component 7
Q9UPT6,MAPK8IP3,C-Jun-amino-terminal kinase-interacting protein 3
Q9UPT8,ZC3H4,Zinc finger CCCH domain-containing protein 4
Q9UPU5,USP24,Ubiquitin carboxyl-terminal hydrolase 24
Q9UPW5,AGTPBP1,Cytosolic carboxypeptidase 1
Q9UPY3,DICER1,Endoribonuclease Dicer
Q9UPY8,MAPRE3,Microtubule-associated protein RP/EB family member 3
Q9UPZ6,THSD7A,Thrombospondin type-1 domain-containing protein 7A
Q9UQ03,CORO2B,Coronin-2B
Q9UQ13,SHOC2,Leucine-rich repeat protein SHOC-2
Q9UQ16,DNM3,Dynamin-3
Q9UQ35,SRRM2,Serine/arginine repetitive matrix protein 2
Q9UQ80,PA2G4,Proliferation-associated protein 2G4
Q9UQ88,CDK11A,Cyclin-dependent kinase 11A
Q9UQ90,SPG7,Paraplegin
Q9UQB3,CTNND2,Catenin delta-2
Q9UQB8,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2
Q9UQE7,SMC3,Structural maintenance of chromosomes protein 3
Q9UQF2,MAPK8IP1,C-Jun-amino-terminal kinase-interacting protein 1
Q9UQN3,CHMP2B,Charged multivesicular body protein 2b
Q9UQR0,SCML2,Sex comb on midleg-like protein 2
Q9Y217,MTMR6,Myotubularin-related protein 6
Q9Y221,NIP7,60S ribosome subunit biogenesis protein NIP7 homolog
Q9Y223,GNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase;UDP-N-acetylglucosamine 2-epimerase (hydrolyzing);N-acetylmannosamine kinase
Q9Y224,C14orf166,UPF0568 protein C14orf166
Q9Y230,RUVBL2,RuvB-like 2
Q9Y232,CDYL,Chromodomain Y-like protein
Q9Y237,PIN4,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
Q9Y244,POMP,Proteasome maturation protein
Q9Y248,GINS2,DNA replication complex GINS protein PSF2
Q9Y262,EIF3L,Eukaryotic translation initiation factor 3 subunit L
Q9Y263,PLAA,Phospholipase A-2-activating protein
Q9Y265,RUVBL1,RuvB-like 1
Q9Y266,NUDC,Nuclear migration protein nudC
Q9Y276,BCS1L,Mitochondrial chaperone BCS1
Q9Y277,VDAC3,Voltage-dependent anion-selective channel protein 3
Q9Y281,CFL2,Cofilin-2
Q9Y282,ERGIC3,Endoplasmic reticulum-Golgi intermediate compartment protein 3
Q9Y285,FARSA,Phenylalanine--tRNA ligase alpha subunit
Q9Y287,ITM2B,"Integral membrane protein 2B;BRI2, membrane form;BRI2 intracellular domain;BRI2C, soluble form;Bri23 peptide"
Q9Y291,MRPS33,"28S ribosomal protein S33, mitochondrial"
Q9Y295,DRG1,Developmentally-regulated GTP-binding protein 1
Q9Y296,TRAPPC4,Trafficking protein particle complex subunit 4
Q9Y2A7,NCKAP1,Nck-associated protein 1
Q9Y2B0,CNPY2,Protein canopy homolog 2
Q9Y2C4,EXOG,"Nuclease EXOG, mitochondrial"
Q9Y2D4,EXOC6B,Exocyst complex component 6B
